success,guesses,bombs,confidence,runtime
1,1,0,1,4.833089828491211
1,1,0,2,6.345430850982666
1,1,0,7,6.885552644729614
0,2,10,5,0.8811981678009033
0,5,8,5,3.4307737350463867
0,1,10,6,0.5511245727539062
1,0,0,1,5.5492517948150635
1,1,0,7,5.569255828857422
0,2,10,6,0.8822000026702881
0,3,10,6,1.1982691287994385
0,1,10,7,0.5501248836517334
1,1,0,2,4.503015041351318
0,2,2,2,7.462683916091919
1,0,0,1,7.917787075042725
1,2,0,6,7.114603757858276
1,2,0,2,5.2361814975738525
1,0,0,1,7.9797985553741455
1,3,0,6,8.666954755783081
0,2,10,6,0.8841986656188965
1,4,0,2,4.964118957519531
1,1,0,7,5.416220664978027
1,0,0,1,4.965118885040283
1,1,0,7,8.43590259552002
1,0,0,1,4.045913934707642
1,0,0,1,7.371465444564819
0,5,10,6,1.7473933696746826
1,0,0,1,6.430450439453125
1,3,0,6,6.515468597412109
1,0,0,1,6.199376583099365
1,0,0,1,2.5995864868164062
0,3,10,5,1.0992484092712402
1,1,0,7,6.599488019943237
1,1,0,1,4.901104688644409
0,7,10,5,2.3015189170837402
1,3,0,5,9.39811897277832
1,0,0,1,6.899556398391724
1,0,0,1,5.00012731552124
1,2,0,6,4.902106046676636
1,1,0,4,6.301421642303467
0,1,10,5,0.49511146545410156
1,2,0,6,4.800082683563232
1,0,0,1,6.998578071594238
0,6,5,6,3.598811388015747
0,1,10,7,0.5011131763458252
1,0,0,1,3.89987850189209
0,2,10,5,0.7981805801391602
0,1,10,7,0.5021131038665771
1,3,0,4,6.79853367805481
1,0,0,1,4.818085670471191
1,2,0,6,4.999127388000488
0,1,10,6,0.499112606048584
1,0,0,1,7.9027814865112305
1,5,0,4,7.198623180389404
0,4,6,3,3.79685640335083
1,5,0,5,7.101600885391235
0,10,5,6,6.4984660148620605
0,3,10,5,1.09824800491333
1,0,0,1,4.102924823760986
1,0,0,1,3.0966992378234863
0,1,10,6,0.4991128444671631
1,3,0,4,5.600262403488159
1,1,0,7,4.601038694381714
1,1,0,7,4.497014045715332
1,5,0,5,9.10105299949646
1,0,0,1,5.500240325927734
1,2,0,6,7.297645330429077
1,0,0,1,7.30064845085144
1,0,0,1,6.598487854003906
0,2,10,5,0.7991795539855957
1,4,0,5,8.10082745552063
1,1,0,3,7.7017364501953125
1,0,0,1,7.395667791366577
0,2,1,1,2.199495792388916
1,1,0,7,6.599487781524658
1,1,0,3,4.5010154247283936
0,1,10,7,0.4991116523742676
0,1,10,7,0.49811363220214844
0,1,10,7,0.502112865447998
0,2,10,6,0.7971799373626709
0,1,10,7,0.5011136531829834
0,2,10,4,0.7991807460784912
1,0,0,1,4.902105093002319
0,5,10,6,1.69838285446167
1,2,0,6,4.500014066696167
0,2,10,5,0.7981798648834229
1,5,0,5,4.000933647155762
0,4,7,4,1.997450351715088
0,1,10,6,0.5011138916015625
1,0,0,1,7.09960150718689
1,1,0,7,2.1014740467071533
1,2,0,6,7.999804735183716
1,2,0,6,6.097374677658081
1,2,0,6,5.599262714385986
1,4,0,5,6.200399160385132
0,3,10,6,1.0982470512390137
0,1,10,4,0.4991114139556885
0,2,10,5,0.798180341720581
1,2,0,6,3.602811813354492
0,2,10,6,0.79718017578125
0,2,6,3,1.499337911605835
0.62,1.82,3.4,4.24,4.257208204269409
