success,guesses,bombs,confidence,runtime
0,1,40,4,0.5117611885070801
0,10,18,4,14.232764482498169
1,1,0,6,24.548336267471313
0,1,40,6,0.5001118183135986
0,2,40,5,0.7981789112091064
0,3,40,5,1.100248098373413
0,1,40,6,0.49811315536499023
0,3,2,1,29.38258647918701
0,2,10,5,14.314866065979004
0,4,7,3,24.63207221031189
0,2,40,6,0.7999405860900879
0,1,40,5,0.5001137256622314
0,3,3,2,17.598198175430298
0,2,40,6,0.8006086349487305
0,5,10,5,20.898425340652466
0,1,40,6,0.497922420501709
0,1,1,1,20.499223232269287
0,2,9,3,20.61777925491333
0,5,40,4,1.6983826160430908
0,8,40,4,2.599586248397827
1,2,0,2,24.29995560646057
0,4,40,5,1.399315595626831
0,2,2,2,19.132307291030884
1,1,0,3,24.49843406677246
0,5,40,4,1.6993365287780762
1,4,0,4,24.30143642425537
1,1,0,5,20.41444754600525
0,4,40,5,1.4000270366668701
0,1,40,6,0.4991135597229004
0,1,40,6,0.5021131038665771
0,1,40,5,0.4981114864349365
0,2,3,2,22.399970054626465
0,4,40,6,1.3982796669006348
0,7,12,5,16.91771101951599
0,3,15,7,24.198991060256958
0,2,18,5,11.59853482246399
0,5,2,1,16.500635385513306
1,3,0,6,19.5344820022583
0,1,40,6,0.4961071014404297
0,4,24,4,9.398576974868774
0,2,3,3,27.449115753173828
0,2,40,6,0.8003184795379639
1,3,0,2,21.73166823387146
0,4,15,4,15.250293493270874
0,11,40,4,3.4994802474975586
0,3,7,4,16.41700553894043
1,0,0,1,26.099931478500366
0,4,40,5,1.3985214233398438
1,0,0,1,22.05261754989624
1,2,0,6,28.64603304862976
0,1,40,7,0.498790979385376
0,2,40,5,0.7990341186523438
1,4,0,6,30.018069982528687
0,2,40,6,0.8001916408538818
0,2,40,5,0.7982091903686523
0,1,2,3,21.13291025161743
0,3,40,4,1.0982666015625
1,0,0,1,26.583364486694336
0,5,40,5,1.699197769165039
0,3,13,4,16.632733583450317
1,0,0,1,28.367461442947388
0,2,40,6,0.7980051040649414
0,4,4,2,28.618091106414795
0,2,40,5,0.800905704498291
0,6,35,4,5.096743822097778
1,7,0,4,30.49825382232666
1,0,0,1,26.917683124542236
1,3,0,3,22.765097856521606
0,4,12,3,12.231318473815918
1,9,0,2,29.934033632278442
0,1,40,6,0.4986140727996826
0,2,40,5,0.799891471862793
1,3,0,6,21.3152494430542
0,3,40,6,1.0982286930084229
0,2,40,6,0.8006744384765625
1,1,0,7,27.3000328540802
0,3,40,5,1.1002936363220215
0,3,7,3,17.01554012298584
0,1,40,7,0.49756431579589844
0,1,40,5,0.5002291202545166
0,1,40,5,0.4992513656616211
1,3,0,3,27.216384649276733
0,1,2,1,22.67996072769165
0,3,40,5,1.0993716716766357
0,4,39,4,1.5000908374786377
0,5,12,6,18.8997642993927
0,2,5,2,22.94982671737671
0,6,22,4,16.71580195426941
1,2,0,5,25.949349880218506
0,2,6,3,18.01475238800049
1,3,0,1,27.199883460998535
1,12,0,5,22.25036072731018
0,3,40,6,1.0986151695251465
0,2,40,4,0.8001132011413574
0,4,40,4,1.3988025188446045
0,7,40,4,2.300680637359619
0,3,1,1,21.665066242218018
0,2,40,6,0.8011705875396729
1,1,0,2,22.029950618743896
0,1,40,7,0.4999380111694336
0.24,2.93,21.21,4.23,12.140459070205688
